"Calendar_Year","Sector_General","Sector_Detail1","Sector_Detail2","Sector_GPC","Sector_GPC_Detail","Commodity_Type","Emissions_mtCO2e","Biogenic_Emissions_mtCO2e","Quantity","Quantity_Units"
"1990","Buildings","Commercial & Industrial","PG&E District","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","0.00","kWh"
"1990","Buildings","Commercial & Industrial","CleanPowerSF Commercial Green Product","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","0.00","kWh"
"1990","Transportation","Public Transportation","Rail - BART","Transportation","Railways - Bay Area Rapid Transit Other Power Contracts","Electricity","0.00","0.00","0.00","kWh"
"1990","Buildings","Residential","CleanPowerSF Residential Green Product","Stationary","Residential Buildings","Electricity","0.00","0.00","0.00","kWh"
"1990","Buildings","Commercial & Industrial","CleanPowerSF Commercial Green Product Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","0.00","kWh"
"1990","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","B5","0.00","0.00","0.00","gallons"
"1990","Municipal","Municipal Buildings","PG&E Municipal Buildings Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","0.00","kWh"
"1990","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable CNG","0.00","0.00","0.00","gallons"
"1990","Transportation","Public Transportation","Bus - Caltrain","Transportation","On-Road Transportation - Caltrain Buses","CNG","0.00","0.00","0.00","gallons"
"1990","Transportation","Public Transportation","Rail - BART","Transportation","Railways - Bay Area Rapid Transit PG&E","Electricity","0.00","0.00","0.00","kWh"
"1990","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","B20","0.00","0.00","0.00","gallons"
"1990","Buildings","Residential","CleanPowerSF Residential SuperGreen Product","Stationary","Residential Buildings","Electricity","0.00","0.00","0.00","kWh"
"1990","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","B5","0.00","0.00","0.00","gallons"
"1990","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","B100","0.00","0.00","0.00","gallons"
"1990","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","B20","0.00","0.00","0.00","gallons"
"1990","Buildings","Commercial & Industrial","CleanPowerSF Commercial SuperGreen Product","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","0.00","kWh"
"1990","Buildings","Commercial & Industrial","PG&E District Natural Gas Distribution Fugitive Emissions Downstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","0.00","0.00","0.00","Therm"
"1990","Buildings","Commercial & Industrial","PG&E District Natural Gas Distribution Fugitive Emissions Upstream Leaks","Stationary","Fugitive Emissions from Oil and Natural Gas Systems","Natural Gas","0.00","0.00","0.00","Therm"
"1990","Buildings","Commercial & Industrial","PG&E District Electric Power Transmission & Distribution Loss","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","0.00","kWh"
"1990","Buildings","Commercial & Industrial","PG&E District","Stationary","Commercial & Institutional Buildings and Facilities","Natural Gas","0.00","0.00","0.00","Therm"
"1990","Municipal","Municipal Buildings","PG&E Municipal Buildings","Stationary","Commercial & Institutional Buildings and Facilities","Electricity","0.00","0.00","0.00","kWh"
"1990","Buildings","Residential","CleanPowerSF Residential Green Product Electric Power Transmission & Distribution Loss","Stationary","Residential Buildings","Electricity","0.00","0.00","0.00","kWh"
"1990","Transportation","Public Transportation","Bus - Golden Gate Transit","Transportation","On-Road Transportation - Golden Gate Transit Buses","Renewable Diesel","0.00","0.00","0.00","gallons"
"1990","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","Renewable Diesel","0.00","0.00","0.00","gallons"
"1990","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Renewable Diesel","0.00","0.00","0.00","gallons"
"1990","Transportation","Diesel - Ships and Boats (non-Ferry)","Diesel - Ships and Boats (non-Ferry)","Transportation","Waterborne Navigation - non-Ferry","Diesel","244,300.69","0.00","0.00","mtCO2e"
"1990","Transportation","Off-Road Equipment","Off-Road Equipment","Stationary","Non-specified Sources","Other Unspecified Fuels","128,415.62","0.00","0.00","mtCO2e"
"1990","Buildings","Residential","Other Residential Fuel Usage","Stationary","Commercial & Institutional Buildings and Facilities","LPGas, Liquid fuel, solid fuel","23,655.00","0.00","0.00","mtCO2e"
"1990","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Other Unspecified Fuels","5,346.90","0.00","0.00","mtCO2e"
"1990","Agriculture","Agriculture/Farming","Agriculture/Farming","Agriculture, Forestry and Other Land Use","Land","Animal Waste","72,192.34","0.00","0.00","mtCO2e"
"1990","Buildings","Commercial & Industrial","Additional Stationary Sources","Stationary","Energy Industries","Gas Oil","70.50","0.00","0.00","mtCO2e"
"1990","Agriculture","Agriculture/Farming","Agriculture/Farming","Stationary","Agriculture, Forestry and Fishing Activities","Other Unspecified Fuels","109.00","0.00","0.00","mtCO2e"
"1990","Wastewater","Wastewater (Process)","Wastewater (Process)","Waste","Wastewater Treatment and Discharge","Process Emissions","765.87","0.00","723,959.00","people"
"1990","Buildings","Commercial & Industrial","Steam - NRG","Stationary","Commercial & Institutional Buildings and Facilities","Steam","64,223.61","0.00","12,101,591.25","Therm"
"1990","Landfilled Organics","Landfilled Organics","Landfilled Organics","Waste","Solid Waste Disposal","Solid Waste","472,645.88","0.00","667,000.00","tons"
"1990","Wastewater","Wastewater (Fugitive)","Wastewater (Fugitive)","Waste","Wastewater Treatment and Discharge","Fugitive Emissions","3,452.54","0.00","9,086.25","Avg kgN/day"
"1990","Transportation","Cars & Trucks","Cars & Trucks","Transportation","On-road Transportation - Cars and Trucks","Gasoline","2,037,736.32","0.00","3,648,000,000.00","miles"
"1990","Transportation","Public Transportation","Rail - Caltrain","Transportation","Railways - Caltrain","Diesel","7,976.26","0.00","785,835.00","gallons"
"1990","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Gasoline","21,646.72","0.00","2,404,846.72","gallons"
"1990","Transportation","Public Transportation","MUNI","Transportation","On-road Transportation - MUNI Buses","Diesel","53,265.82","0.00","5,216,832.50","gallons"
"1990","Transportation","Public Transportation","Bus - Golden Gate Transit","Transportation","On-Road Transportation - Golden Gate Transit Buses","Diesel","3,320.19","0.00","325,054.50","gallons"
"1990","Municipal","Municipal Fleet","Municipal Fleet","Transportation","On-road Transportation - Municipal Fleet","Diesel","10,893.10","0.00","297,989.96","gallons"
"1990","Transportation","Public Transportation","Ferry","Transportation","Waterborne Navigation - Ferry","Diesel","39,991.19","0.00","3,940,000.00","gallons"
"1990","Transportation","Public Transportation","Bus - Caltrain","Transportation","On-Road Transportation - Caltrain Buses","Diesel","58.44","0.00","5,721.52","gallons"
